fecha,usuario,comentario,plataforma,sentimiento,categoria,emocion
2025-09-05,user_248,"Muy buena la charla sobre inteligencia artificial, sigan así 💡",Instagram,Positivo,Cultura,Orgullo
2025-09-06,user_249,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Infraestructura,Orgullo
2025-09-07,user_250,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Cultura,Esperanza
2025-09-08,user_251,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Servicio,Alegría
2025-09-09,user_252,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Servicio,Orgullo
2025-09-10,user_253,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Bienestar,Indignación
2025-09-11,user_254,"Muy buena la charla sobre inteligencia artificial, sigan así 💡",Instagram,Positivo,Académico,Esperanza
2025-09-12,user_255,"El rector no escucha a los estudiantes, decepcionante",Instagram,Negativo,Infraestructura,Indignación
2025-09-13,user_256,"El rector no escucha a los estudiantes, decepcionante",Instagram,Negativo,Servicio,Tristeza
2025-09-14,user_257,"El rector no escucha a los estudiantes, decepcionante",Instagram,Negativo,Servicio,Indignación
2025-09-15,user_258,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Académico,Orgullo
2025-09-16,user_259,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Político,Indignación
2025-09-17,user_260,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Infraestructura,Indignación
2025-09-18,user_261,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Servicio,Frustración
2025-09-19,user_262,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Cultura,Tristeza
2025-09-20,user_263,Felicitaciones a los docentes por su compromiso ❤️,Instagram,Positivo,Académico,Alegría
2025-09-21,user_264,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Servicio,Orgullo
2025-09-22,user_265,"Muy buena la charla sobre inteligencia artificial, sigan así 💡",Instagram,Positivo,Infraestructura,Alegría
2025-09-23,user_266,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Infraestructura,Orgullo
2025-09-24,user_267,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Bienestar,Tristeza
2025-09-25,user_268,Felicitaciones a los docentes por su compromiso ❤️,Instagram,Positivo,Infraestructura,Orgullo
2025-09-26,user_269,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Político,Indignación
2025-09-27,user_270,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Político,Indignación
2025-09-28,user_271,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Cultura,Tristeza
2025-09-29,user_272,Felicitaciones a los docentes por su compromiso ❤️,Instagram,Positivo,Académico,Esperanza
2025-09-30,user_273,"Muy buena la charla sobre inteligencia artificial, sigan así 💡",Instagram,Positivo,Cultura,Alegría
2025-10-01,user_274,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Cultura,Frustración
2025-10-02,user_275,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Político,Tristeza
2025-10-03,user_276,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Académico,Alegría
2025-10-04,user_277,Felicitaciones a los docentes por su compromiso ❤️,Instagram,Positivo,Político,Orgullo
2025-10-05,user_278,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Político,Frustración
2025-10-06,user_279,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Cultura,Frustración
2025-10-07,user_280,"El rector no escucha a los estudiantes, decepcionante",Instagram,Negativo,Infraestructura,Indignación
2025-10-08,user_281,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Bienestar,Tristeza
2025-10-09,user_282,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Bienestar,Esperanza
2025-10-10,user_283,Otra vez el portal colapsa cuando más lo necesitamos 😤,Instagram,Negativo,Cultura,Frustración
2025-10-11,user_284,"Infraestructura en mal estado, aulas sin luz ni ventilación",Instagram,Negativo,Infraestructura,Frustración
2025-10-12,user_285,Felicitaciones a los docentes por su compromiso ❤️,Instagram,Positivo,Infraestructura,Esperanza
2025-10-13,user_286,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Bienestar,Orgullo
2025-10-14,user_287,"El rector no escucha a los estudiantes, decepcionante",Instagram,Negativo,Académico,Frustración
2025-10-15,user_288,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Bienestar,Esperanza
2025-10-16,user_289,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Bienestar,Alegría
2025-10-17,user_290,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Bienestar,Frustración
2025-10-18,user_291,"Me encantó el evento cultural, San Marcos brilla ✨",Instagram,Positivo,Infraestructura,Orgullo
2025-10-19,user_292,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Cultura,Indignación
2025-10-20,user_293,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Servicio,Alegría
2025-10-21,user_294,Demasiada burocracia para un trámite simple 😡,Instagram,Negativo,Cultura,Frustración
2025-10-22,user_295,"La nueva biblioteca está increíble, buen trabajo 📚",Instagram,Positivo,Cultura,Alegría
2025-10-23,user_296,"Excelente atención en bienestar, gracias por el apoyo 👏",Instagram,Positivo,Académico,Esperanza
2025-10-24,user_297,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Servicio,Tristeza
2025-10-25,user_298,"Muy buena la charla sobre inteligencia artificial, sigan así 💡",Instagram,Positivo,Bienestar,Alegría
2025-10-26,user_299,"Mucho politiqueo, deberían enfocarse en los alumnos",Instagram,Negativo,Político,Tristeza
2025-10-27,user_300,"El rector no escucha a los estudiantes, decepcionante",Instagram,Negativo,Cultura,Frustración
